15.953||72.328
69.689||73.990
57.683||51.900
55.164||53.325
69.353||77.553
52.981||54.988
80.269||61.758
81.108||58.314
79.009||64.252
56.003||88.717
91.436||42.874
76.910||65.677
36.356||12.233
36.860||9.501
52.225||90.736
50.546||91.805
34.761||27.791
14.442||61.164
47.355||60.333
16.121||27.791
71.788||23.040
47.775||18.171
50.126||18.052
35.852||15.321
50.462||43.705
55.919||17.933
71.788||32.898
35.852||40.736
29.219||35.748
23.342||13.064
43.577||38.005
50.546||60.214
43.493||61.758
47.355||64.371
