32.326||85.154
82.452||79.097
70.361||57.126
67.842||58.551
81.948||82.660
65.743||60.214
92.947||66.983
93.871||63.539
91.856||69.477
61.713||66.508
94.878||47.625
89.589||70.903

20.319||21.734
57.599||62.114
29.639||80.404
28.128||78.504
26.700||76.960
25.189||74.941
57.599||19.121
13.686||51.188
54.912||19.121
44.836||91.686
86.146||39.549
75.987||16.865
21.830||53.444
28.715||14.014
53.484||24.703
27.204||57.007
62.049||47.743
69.018||12.708
32.074||14.964
44.836||11.876
27.204||19.121
88.161||19.240
72.544||32.660
76.406||35.154
44.668||49.406
58.270||64.846
59.614||66.983
